Developer,Box Name,Number of Stars
mvt-project,mvt,"4,354"
Megvii-BaseDetection,YOLOX,"2,320"
AmnestyTech,investigations,937
flutter,flutter,"125,680"
doocs,source-code-hunter,"4,295"
public-apis,public-apis,"143,651"
jwasham,coding-interview-university,"186,898"
microsoft,CBL-Mariner,"2,291"
nocodb,nocodb,"15,089"
tinode,chat,"6,925"
blueedgetechno,windows11,"2,314"
CryptoBlades,cryptoblades,220
ventoy,Ventoy,"21,637"
topotam,PetitPotam,530
forem,selfhost,442
LaravelDaily,Laravel-Roadmap-Learning-Path,828
trekhleb,learn-python,"10,004"
verymeticulous,wikAPEdia,294
loong132,autojs-script,169
Xmader,musescore-downloader,"1,430"
JuliaLang,julia,"35,314"
zhenghaoz,gorse,"3,546"
capt-meelo,Beaconator,229
Universidade-Livre,ciencia-da-computacao,"1,145"
protocolbuffers,protobuf,"49,440"
